source,target,value
Astro_Cady,astro_reid,0
Astro_Cady,AstroSamantha,3
Astro_Cady,StationCDRKelly,0
Astro_Cady,AstroTerry,1
Astro_Cady,Astro_Wheels,0
Astro_Cady,Chief_Astronaut,0
Astro_Cady,Astro_Nicole,1
Astro_Cady,Astro_Andreas,0
Astro_Cady,Astro_Ron,0
Astro_Cady,AstroRM,1
Astro_Cady,Astro_Cady,2
Astro_Ferg,Commercial_Crew,1
Astro_Ferg,astro_reid,0
Astro_Clay,AstroDot,1
Astro_Clay,Astro_Soichi,0
Astro_Clay,Astro_Wheels,0
Astro_Clay,OlegMKS,0
Astro_Clay,Astro_Mike,0
Astro_Clay,Astro_Alex,0
Astro_Clay,astro_reid,0
Astro_Clay,Astro_Flow,0
AstroDot,NASA_NEEMO,1
AstroDot,Astro_Maker,0
AstroDot,astro_reid,1
AstroDot,NASA,4
AstroDot,AstroIllini,2
AstroDot,Astro_Mike,1
AstroDot,Astro_Cady,0
AstroDot,Astro2fish,2
AstroDot,astro_aggie,0
AstroDot,Cmdr_Hadfield,6
AstroDot,Astro_Suni,1
AstroDot,Astro_Clay,1
AstroDot,Aki_Hoshide,3
AstroDot,Astro_Flow,4
AstroDot,Astro_Satoshi,0
AstroDot,Astro_Andreas,0
AstroDot,NASA_Astronauts,1
AstroDot,DESERT_RATS,0
AstroDot,Astro_Kimiya,3
AstroDot,AstroMarshburn,0
AstroDot,CFuglesang,0
AstroDot,AstroIronMike,1
AstroDot,Thom_astro,0
AstroDot,AstroRM,0
AstroDot,MorpheusLander,0
AstroDot,Astro_Sandy,0
AstroDot,astro_luca,1
AstroDot,AstroAcaba,1
AstroDot,Astro_Soichi,0
AstroDot,astro_timpeake,0
AstroDot,Astro_DavidS,0
AstroDot,Astro_Jeremy,0
Astro_Wheels,NASA,2
Astro_Wheels,foreman_mike,1
Astro_Wheels,Cmdr_Hadfield,0
Astro_Wheels,Chief_Astronaut,1
Astro_Wheels,Astro_Ron,0
Astro_Wheels,astro_reid,2
Astro_Wheels,Astro_Alex,0
Astro_Wheels,Commercial_Crew,0
Astro_Wheels,astro_timpeake,0
Astro_Doug,AstroKarenN,9
Astro_Doug,NASA_Astronauts,1
Astro_Doug,astro_luca,2
Astro_Box,Chief_Astronaut,0
Astro_Box,astro_reid,0
Astro_Box,NASA,1
Astro_Box,AstroIronMike,3
Astro_Box,Astro_Nicole,1
Astro_Box,Astro_Wheels,1
Astro_Box,Astro_Cady,1
Astro_Box,Cmdr_Hadfield,0
Astro_Box,Astro_Clay,0
Astro_Box,ISS_Research,0
Astro2fish,Astro_Nicole,0
Astro2fish,Astro_Kate7,0
Astro2fish,AstroKarenN,0
Astro2fish,Commercial_Crew,0
Astro2fish,Astro2fish,2
Astro2fish,Astro_Rex,0
Astro2fish,AstroIronMike,0
Astro2fish,Cmdr_Hadfield,0
AstroAcaba,AstroDot,0
AstroAcaba,Aki_Hoshide,0
AstroKarenN,astro_reid,6
AstroKarenN,Chief_Astronaut,1
AstroKarenN,Astro_Wheels,0
AstroKarenN,OlegMKS,1
AstroKarenN,NASA,0
AstroKarenN,Astro_Wakata,0
AstroKarenN,AstroIllini,1
AstroKarenN,AstroRM,0
Astro_Kate7,NASA,0
Astro_Kate7,Astro_Mike,0
Astro_Kate7,Thom_astro,5
Astro_Kate7,astro_reid,0
Astro_Kate7,Astro_Nicole,0
Astro_Kate7,esaoperations,0
Astro_Kate7,Astro_Soichi,1
Astro_Kate7,AstroAcaba,1
Astro_Kate7,Astro_Andreas,4
Astro_Kate7,Astro2fish,0
Astro_Kate7,AstroIllini,1
Astro_Kate7,Astro_Clay,0
Astro_Kate7,StationCDRKelly,0
astro_kjell,astro_reid,2
astro_kjell,StationCDRKelly,1
astro_kjell,AstroKarenN,0
astro_kjell,Cmdr_Hadfield,0
astro_kjell,AstroMarshburn,1
astro_kjell,Astro_Jeremy,0
AstroIronMike,Astro_Nicole,1
AstroIronMike,NASA_Astronauts,1
AstroIronMike,NASA,8
AstroIronMike,Astro_Mike,0
AstroIronMike,Astro_Wakata,0
AstroIronMike,AstroKarenN,0
AstroIronMike,Cmdr_Hadfield,0
AstroIronMike,Astro2fish,1
AstroIronMike,Astro_Box,4
AstroIronMike,Astro_Satoshi,0
AstroIronMike,astro_luca,0
AstroIronMike,Astro_Taz,0
AstroIronMike,astro_paolo,0
foreman_mike,Chief_Astronaut,3
foreman_mike,Astro_Flow,3
foreman_mike,NASA,0
astro_aggie,astro_reid,3
astro_aggie,NASA,0
astro_aggie,Astro_Ron,1
astro_aggie,AstroSamantha,1
astro_aggie,AstroKarenN,0
astro_aggie,Astro_Cady,1
astro_aggie,Astro_Nicole,1
astro_aggie,astro_timpeake,0
astro_aggie,Chief_Astronaut,0
astro_aggie,Astro_Flow,0
astro_aggie,esaoperations,0
astro_aggie,StationCDRKelly,0
astro_aggie,Astro_Wheels,1
astro_aggie,AstroRM,0
astro_aggie,Astro_Ferg,0
astro_aggie,Astro_Satoshi,0
astro_aggie,astro_aggie,2
AstroIllini,ISS_Research,0
AstroIllini,AstroRM,0
Astro_Mike,NASA,0
Astro_Mike,AstroRM,0
Astro_Mike,astro_Pettit,1
Astro_Nicholas,NASA_Orion,0
Astro_Nicole,NASA,2
Astro_Nicole,OlegMKS,1
Astro_Nicole,Astro_Nicole,0
Astro_Nicole,Astro_Alex,1
Astro_Nicole,AstroKarenN,1
Astro_Nicole,astro_reid,1
Astro_Nicole,fka_roscosmos,0
Astro_Nicole,Astro_Wheels,0
Astro_Nicole,Msuraev,0
Astro_Nicole,Astro_Flow,0
Astro_Nicole,Astro_Sandy,0
Astro_Nicole,Astro_Ron,0
Astro_Nicole,AstroIllini,0
Astro_Nicole,Astro_Wakata,1
Astro_Nicole,AstroRM,0
Astro_Nicole,AstroTerry,0
astro_reid,Astro_Alex,1
astro_reid,esa,0
astro_reid,astro_reid,1
astro_reid,AstroSamantha,0
Astro_Rex,Astro_Ferg,0
AstroRM,NASA,0
AstroRM,AstroRM,2
Astro_Ron,astro_reid,3
Astro_Ron,Astro_Nicole,3
Astro_Ron,Astro_Alex,0
Astro_Ron,NASA,1
Astro_Ron,AstroKarenN,1
Astro_Ron,Astro_Cady,0
Astro_Ron,ISS_Research,0
Astro_Ron,astro_timpeake,0
Astro_Ron,Astro_Clay,0
Astro_Ron,Astro_Ron,2
Astro_Ron,Astro_Andreas,0
Astro_Ron,Astro_Wheels,0
Astro_Sandy,Astro_Clay,0
Astro_Sandy,Chief_Astronaut,1
Astro_Sandy,AstroSamantha,1
Astro_Sandy,Astro_Wakata,0
Astro_Sandy,OlegMKS,0
AstroSerena,Astro_Kate7,0
AstroSerena,Astro_Flow,0
StationCDRKelly,NASA,5
StationCDRKelly,ISS_Research,0
StationCDRKelly,Msuraev,0
StationCDRKelly,Astro_Alex,0
StationCDRKelly,StationCDRKelly,2
StationCDRKelly,Astro_Kate7,0
StationCDRKelly,AstroRM,0
Astro_Maker,astro_aggie,0
Astro_Maker,Astro_Maker,0
Astro_Maker,Astro_Clay,0
Astro_Maker,Astro_Kate7,0
Astro_Maker,AstroKarenN,0
Astro_Maker,AstroAcaba,0
Astro_Suni,AstroAcaba,0
AstroTerry,NASA,9
AstroTerry,astro_reid,9
AstroTerry,Astro_Alex,3
AstroTerry,astro_luca,0
AstroTerry,AstroSamantha,6
AstroTerry,AstroKarenN,0
AstroTerry,Astro_DavidS,0
AstroTerry,Astro_Nicole,0
AstroTerry,Astro_Cady,0
AstroTerry,Astro_Wheels,0
AstroTerry,AstroRobonaut,0
AstroTerry,AstroTerry,1
AstroMarshburn,AstroKarenN,0
AstroMarshburn,NASA,1
AstroMarshburn,csa_asc,0
AstroMarshburn,Astro_Mike,0
AstroMarshburn,NASA_Astronauts,0
AstroMarshburn,AstroRobonaut,1
AstroMarshburn,Cmdr_Hadfield,0
Astro_TJ,NASA,7
Astro_TJ,Astro_Alex,0
Astro_TJ,Astro_Cady,1
Astro_TJ,StationCDRKelly,0
Astro_TJ,ISS_Research,2
Astro_TJ,Astro_Mike,0
Astro_TJ,NASA_Astronauts,0
Astro_TJ,AstroRM,0
Astro_TJ,Astro_Clay,1
Chief_Astronaut,NASA,5
Chief_Astronaut,ISS_Research,0
Chief_Astronaut,Astro_Wheels,0
Chief_Astronaut,NASA_Astronauts,1
Chief_Astronaut,astro_reid,1
Chief_Astronaut,AstroTerry,1
Chief_Astronaut,NASA_NEEMO,0
Chief_Astronaut,Astro_Soichi,0
Chief_Astronaut,foreman_mike,0
Chief_Astronaut,Astro_Sandy,0
Commercial_Crew,NASA,13
Commercial_Crew,Commercial_Crew,3
DESERT_RATS,MorpheusLander,2
DESERT_RATS,NASA_NEEMO,3
DESERT_RATS,NASA,0
DESERT_RATS,DESERT_RATS,1
ISS_Research,Astro_Alex,25
ISS_Research,astro_reid,43
ISS_Research,NASA,7
ISS_Research,OlegMKS,3
ISS_Research,AstroSamantha,2
ISS_Research,csa_asc,0
ISS_Research,Astro_Nicole,0
ISS_Research,NASA_Astronauts,0
ISS_Research,Chief_Astronaut,0
NASAMightyEagle,MorpheusLander,2
NASA_NEEMO,Thom_astro,1
NASA_NEEMO,Aki_Hoshide,6
NASA_NEEMO,Astro_Jeremy,1
NASA_NEEMO,Chief_Astronaut,3
NASA_NEEMO,csa_asc,1
NASA_NEEMO,esaoperations,0
NASA_NEEMO,MorpheusLander,2
NASA_NEEMO,Astro_Nicole,1
NASA_NEEMO,StationCDRKelly,2
NASA_NEEMO,Astro_Wakata,0
NASA_NEEMO,DESERT_RATS,5
NASA_NEEMO,Astro_Kimiya,4
NASA_NEEMO,astro_timpeake,4
NASA_NEEMO,AstroDot,2
NASA_NEEMO,NASA,1
NASA_NEEMO,AstroSerena,0
NASA_NEEMO,Astro_Soichi,0
NASA_NEEMO,Astro_Andreas,1
NASA_NEEMO,Astro_DavidS,0
NASA_Orion,NASA_SLS,16
NASA_Orion,NASA,22
NASA_Orion,NASA_Orion,0
PavilionLake,DESERT_RATS,6
PavilionLake,HMP,2
PavilionLake,PavilionLake,1
MorpheusLander,NASA,2
MorpheusLander,MorpheusLander,0
AstroRobonaut,NASA,3
AstroRobonaut,AstroRM,0
AstroRobonaut,AstroTerry,1
AstroRobonaut,AstroKarenN,2
AstroRobonaut,astro_luca,3
AstroRobonaut,MorpheusLander,0
AstroRobonaut,AstroIllini,0
NASA_SLS,NASA,33
NASA_SLS,NASA_Orion,20
NASA_SLS,csa_asc,0
NASA_SLS,NASA_Astronauts,0
NASA_SLS,astro_reid,3
NASA_SLS,NASA_SLS,0
